Brand,ProductName,Category,MRP,SalePrice,Rating,NumberOfReviews,URL
FUR JADEN,Unisex Textured Duffel Bag,Handbags and Bags,Rs. 4000,Rs. 899,4.5,819,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-unisex-brown-textured-duffel-bag/19230154/buy
GUESS,Structured Quilted Satchel,Handbags and Bags,Rs. 15000,Rs. 9000,,,https://www.myntra.com/handbags/guess/guess-women-embellished-pu-structured-quilted-satchel-handbags/31083429/buy
Sassora,Leather Shoulder Bag,Handbags and Bags,Rs. 10299,Rs. 4943,,,https://www.myntra.com/handbags/sassora/sassora-leather-shoulder-bag-handbags/20995230/buy
Tommy Hilfiger,Unisex Solid Backpack,Handbags and Bags,Rs. 3199,Rs. 1887,4.6,10k,https://www.myntra.com/backpacks/tommy+hilfiger/tommy-hilfiger-joshua-unisex-15-inch-laptop-backpack-21l/9137557/buy
FLYING BERRY,Set of 3 Handbags,Handbags and Bags,Rs. 6499,Rs. 3574,3.5,8,https://www.myntra.com/handbags/flying+berry/flying-berry-set-of-3-white-solid-handbags-combo/14125410/buy
FLYING BERRY,Set of 3 Handbags,Handbags and Bags,Rs. 6499,Rs. 3574,4.1,15,https://www.myntra.com/handbags/flying+berry/flying-berry-set-of-3-brown-solid-handbags-combo/14125412/buy
Assembly,Unisex Check In Trolley Bag,Handbags and Bags,Rs. 9999,Rs. 7999,3.9,8,https://www.myntra.com/trolley-bag/assembly/assembly-rover-white-premium-check-in-trolley-bag---28-inches/27402540/buy
FLYING BERRY,Set of 3 Handbags,Handbags and Bags,Rs. 6499,Rs. 3574,4.7,6,https://www.myntra.com/handbags/flying+berry/flying-berry-set-of-3-beige-structured-handbags/15769958/buy
GENWAYNE,Leather Handheld Bag Handbags,Handbags and Bags,Rs. 10990,Rs. 3297,,,https://www.myntra.com/handbags/genwayne/genwayne-leather-handheld-bag-handbags/20737344/buy
Safari,Astra Neo Large Trolley Bag,Handbags and Bags,Rs. 12999,Rs. 3199,4.9,14,https://www.myntra.com/trolley-bag/safari/safari-astra-neo-textured-hard-sided-8-wheels-large-check-in-trolley-bag/34432410/buy
OsaiZ,PU Handbags,Handbags and Bags,Rs. 1799,Rs. 469,3.5,24,https://www.myntra.com/handbags/osaiz/osaiz-textured-zip-detail-pu-handbags/26182804/buy
Kuber Industries,2-Pcs Embellished Handbags,Handbags and Bags,Rs. 499,Rs. 254,,,https://www.myntra.com/handbags/kuber+industries/kuber-industries-pack-of-2-embellished-handbags/27974318/buy
Safari,Overnighter Hard-Sided Trolley,Handbags and Bags,Rs. 8560,Rs. 8560,4.2,40,https://www.myntra.com/trolley-bag/safari/safari-aviator-pearl-blue-overnighter-trolley-with-laptop-compartment-and-tsa-lock-50cm/32285500/buy
PARFOIS,PU Handbags,Handbags and Bags,Rs. 5999,Rs. 3599,,,https://www.myntra.com/handbags/parfois/parfois-pu-handbags/33752806/buy
